All Players   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Austin Wells C | NYY ,404,48,93,51,21,1,20,66,33,118,4,1,.230,.291,.436,261
W ,Dillon Dingler C | DET ,404,50,108,72,21,2,13,54,29,108,1,0,.267,.327,.426,265
W ,Logan O'Hoppe C | LAA,458,51,105,70,14,1,20,55,28,155,2,1,.229,.280,.395,266
W ,Cam Smith OF | HOU,374,49,96,65,19,3,9,46,37,106,8,1,.257,.330,.396,271
W ,Harry Ford C | WAS ,192,22,48,32,9,1,6,25,14,49,1,0,.250,.309,.401,281
W ,Zach Cole OF | HOU ,465,66,125,80,23,3,19,63,45,119,16,4,.269,.339,.454,285
W ,"Jose Caballero 2B,3B,SS,OF | NYY",377,57,91,58,23,1,9,47,41,115,44,11,.241,.323,.379,286
W ,Moises Ballesteros DH | CHC ,461,69,123,73,23,3,24,74,55,120,5,1,.267,.350,.486,287
W ,Mark Vientos 3B | NYM ,497,64,129,76,24,2,27,84,35,151,1,0,.260,.310,.479,288
W ,Evan Carter OF | TEX,456,68,116,73,23,5,15,59,46,111,24,5,.254,.333,.425,289
W ,Andrew Benintendi OF | CHW,485,68,125,74,21,4,26,77,43,103,3,1,.258,.320,.478,290
W ,Spencer Horwitz 1B | PIT,474,73,133,82,30,0,21,71,60,105,1,0,.281,.365,.477,291
W ,George Valera DH | CLE ,461,68,118,66,24,2,26,69,59,131,5,1,.256,.346,.486,292
W ,Brendan Donovan 2B | SEA ,521,74,148,97,33,2,16,67,53,82,5,4,.284,.362,.447,293
W ,Cedric Mullins OF | TB,446,64,107,67,22,3,15,59,51,111,25,5,.240,.320,.404,294
W ,Jonny DeLuca OF | TB,418,51,120,84,18,7,11,52,31,92,26,5,.287,.341,.443,295
W ,Dylan Beavers OF | BAL ,460,70,117,69,24,4,20,63,56,135,11,8,.254,.340,.454,296
W ,Tyler Fitzgerald 2B | SF ,464,64,125,81,26,3,15,48,33,135,20,8,.269,.327,.435,298
W ,Denzel Clarke OF | ATH,471,67,121,75,25,4,17,52,34,146,17,3,.257,.316,.435,299
