Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jason Foley","SFG",2,2,0,3.63021,32,0,0,1,,32,134,30,14,13,3,11,,1,29,8.13136,2.97132,2.73662,0.782177,0.216327,0.0790492,0.13727806508541107,0.243965,1.25739,0.299016,0.719225,,,3.58523,0.0552043,0.0467478,999,,,,,,,147.9,4.621875,147,4.59375,,,,,,,,,,,,,,,,,,,"Jason Foley","19531",671345
"Seth Halvorsen","COL",3,2,0,4.30226,42,0,0,1,,42,185,41,22,20,5,20,,2,42,8.96265,4.23241,2.11762,0.999177,0.22633,0.106879,0.11945051699876785,0.24946,1.43759,0.309046,0.714011,,,4.15374,0.0547099,0.0523671,698.4299926757812,,,,,,,164.70000000000002,3.9214285714285717,167,3.9761904761904763,,,,,,,,,,,,,,,,,,,"Seth Halvorsen","33294",678020
"Zach McCambley","PHI",3,2,0,4.18998,48,0,0,4,,48,210,44,24,22,6,22,,2,50,9.36358,4.04697,2.31373,1.17819,0.237805,0.10278,0.1350250393152237,0.237366,1.36925,0.291797,0.725787,,,4.25874,0.0545347,0.0639634,999,,,,,,,211.00000000000003,4.395833333333334,206,4.291666666666667,,,,,,,,,,,,,,,,,,,"Zach McCambley","sa3014478",685112
"Manuel Rodríguez","TBR",1,1,0,3.19301,16,0,0,1,,16,68,14,6,6,1,5,,1,16,9.27291,3.00407,3.08678,0.793923,0.242429,0.0785379,0.16389111429452896,0.226404,1.20994,0.286385,0.757009,,,3.36163,0.054258,0.0578608,999,,,,,,,87.70000000000002,5.481250000000001,85,5.3125,,,,,,,,,,,,,,,,,,,"Manuel Rodriguez","20794",655889
"Welinton Herrera","COL",2,1,0,4.25474,30,0,0,1,,30,132,29,15,14,3,14,,2,33,9.83476,4.12914,2.38179,1.04287,0.249224,0.104637,0.14458683133125305,0.247159,1.41635,0.315754,0.717636,,,3.98711,0.0534712,0.0564854,999,,,,,,,131.7,4.39,133,4.433333333333334,,,,,,,,,,,,,,,,,,,"Welinton Herrera","sa3016061",700327
"Danny Young","ATL",2,1,0,3.36757,22,0,0,1,,22,97,19,9,8,2,10,,1,26,10.5319,4.02503,2.61661,0.828359,0.265957,0.101642,0.164315365254879,0.223536,1.31934,0.295572,0.76495,,,3.48687,0.0520764,0.0631165,999,,,,,,,111.80000000000001,5.081818181818182,107,4.863636363636363,,,,,,,,,,,,,,,,,,,"Danny Young","18439",664849
"Jack Dreyer","LAD",3,3,0,3.96722,52,0,0,8,,52,219,45,25,23,7,20,,2,52,9.0565,3.4281,2.64184,1.23943,0.239379,0.0906107,0.14876824617385864,0.22902,1.24552,0.276252,0.725804,,,4.19807,0.0516944,0.0300409,999,,,,,,,251.70000000000005,4.840384615384616,239,4.596153846153846,,,,,,,,,,,,,,,,,,,"Jack Dreyer","30249",676263
"Yosver Zulueta","SEA",2,2,0,3.43858,40,0,0,1,,40,173,34,17,15,4,19,,2,44,9.83028,4.35467,2.25741,0.795921,0.252058,0.111658,0.14040037244558334,0.221217,1.32392,0.287233,0.75545,,,3.70777,0.0501486,0.0379603,999,,,,,,,187.4,4.6850000000000005,177,4.425,,,,,,,,,,,,,,,,,,,"Yosver Zulueta","27765",691172
"John King","MIA",3,3,0,4.17251,52,0,0,7,,52,226,55,26,24,5,16,,2,37,6.47926,2.84336,2.27873,0.832462,0.165645,0.0726917,0.09295305609703064,0.264903,1.37122,0.303599,0.696494,,,3.98517,0.0497479,0.0106283,999,,,,,,,228.3,4.390384615384615,243,4.673076923076923,,,,,,,,,,,,,,,,,,,"John King","22051",667463
"Lake Bachar","MIA",3,2,0,4.10659,48,0,0,4,,48,206,43,24,22,6,20,,2,49,9.24121,3.78027,2.44459,1.19837,0.239255,0.097871,0.14138363301753998,0.234417,1.316,0.28654,0.723835,,,4.22118,0.0495712,0.0551881,999,,,,,,,217.60000000000002,4.533333333333334,210,4.375,,,,,,,,,,,,,,,,,,,"Lake Bachar","19222",669199
"Dylan Ross","NYM",2,1,0,3.43775,30,0,0,1,,30,129,24,13,11,3,16,,2,35,10.5402,4.6568,2.2634,0.881935,0.272005,0.120175,0.1518291011452675,0.212376,1.31071,0.281933,0.761395,,,3.7776,0.0494982,0.0471069,999,,,,,,,142.7,4.756666666666666,131,4.366666666666666,,,,,,,,,,,,,,,,,,,"Dylan Ross","sa3025659",697811
"Ronel Blanco","HOU",1,0,1,4.54766,12,2,0,1,,17,74,16,10,9,3,7,,1,16,8.53085,3.82095,2.23265,1.3526,0.220737,0.0988679,0.12186930328607559,0.24274,1.35179,0.285463,0.700812,,,4.61588,0.0489586,-0.00704708,999,,,,,,,59.300000000000004,3.488235294117647,58,3.411764705882353,,,,,,,,,,,,,,,,,,,"Ronel Blanco","19407",669854
"Anthony Nunez","BAL",2,1,0,3.60841,28,0,0,1,,28,120,23,12,11,3,12,,1,32,10.3215,3.95529,2.60954,1.0253,0.267873,0.102651,0.1652214452624321,0.221201,1.2782,0.286377,0.751129,,,3.79113,0.0483117,0.0460384,999,,,,,,,139.50000000000006,4.982142857142859,130,4.642857142857143,,,,,,,,,,,,,,,,,,,"Anthony Nunez","sa3010171",689296
"DJ Herz","WSN",1,1,1,4.45902,17,2,0,1,,21,92,19,12,11,3,11,,1,22,9.07467,4.49214,2.02012,1.22474,0.235583,0.116618,0.11896485090255737,0.236022,1.37921,0.287876,0.705039,,,4.5411,0.0462003,-0.0351217,999,,,,,,,81.1,3.8619047619047615,78,3.7142857142857144,,,,,,,,,,,,,,,,,,,"DJ Herz","26389",687792
"Joe Jiménez","ATL",1,1,0,3.33458,18,0,0,1,,18,76,15,7,7,2,6,,1,21,10.7426,3.09758,3.46806,1.12301,0.2827,0.0815152,0.20118460804224014,0.215687,1.1706,0.279185,0.76907,,,3.54188,0.0450432,0.0628487,999,,,,,,,94.60000000000002,5.255555555555556,89,4.944444444444445,,,,,,,,,,,,,,,,,,,"Joe Jimenez","15761",641729
"Matt Gage","SFG",3,3,0,4.08518,56,0,0,10,,56,241,54,28,25,6,21,,3,48,7.79423,3.31859,2.34865,0.97089,0.201234,0.0856806,0.11555349826812744,0.250281,1.34155,0.296924,0.71043,,,4.05547,0.044637,0.0175328,999,,,,,,,264.20000000000005,4.717857142857143,266,4.75,,,,,,,,,,,,,,,,,,,"Matt Gage","17381",657424
"Connor Phillips","CIN",3,3,0,4.23641,58,0,0,10,,58,255,50,30,27,8,30,,3,62,9.64225,4.69649,2.05308,1.26112,0.243887,0.118791,0.12509608268737793,0.225669,1.38328,0.276812,0.732167,,,4.54069,0.0433918,0.123253,999,,,,,,,265.80000000000007,4.582758620689656,251,4.327586206896552,,,,,,,,,,,,,,,,,,,"Connor Phillips","27649",683175
"Brandon Young","BAL",1,1,1,4.55587,21,2,0,1,,25,109,25,14,13,4,8,,1,22,7.76002,2.90543,2.67087,1.38492,0.20069,0.0751404,0.1255497932434082,0.254273,1.32138,0.290167,0.694872,,,4.51867,0.0431769,-0.0937334,999,,,,,,,91.80000000000001,3.6720000000000006,94,3.76,,,,,,,,,,,,,,,,,,,"Brandon Young","27819",687064
"Ryan Lambert","NYM",2,2,0,3.58099,36,0,0,1,,36,156,28,16,14,5,18,,2,45,11.2706,4.56537,2.46872,1.1469,0.28899,0.117061,0.17192957550287247,0.206026,1.28467,0.271545,0.768432,,,3.96721,0.0417548,0.0435962,999,,,,,,,166.10000000000002,4.61388888888889,149,4.138888888888889,,,,,,,,,,,,,,,,,,,"Ryan Lambert","sa3025613",822038
"Tyler Phillips","MIA",3,3,0,4.53221,68,0,3,15,,68,293,71,37,34,8,24,,3,50,6.62804,3.17839,2.08535,1.021,0.170916,0.0819607,0.08895567804574966,0.266152,1.39333,0.303021,0.683117,,,4.33887,0.0416487,-0.0571616,999,,,,,,,314.20000000000005,4.620588235294118,330,4.852941176470588,,,,,,,,,,,,,,,,,,,"Tyler Phillips","20629",663969
"Dane Dunning","SEA",1,1,1,4.38622,14,2,0,1,,19,82,19,10,9,3,6,,1,15,7.17478,2.98134,2.40656,1.21832,0.188103,0.0781625,0.1099402979016304,0.251937,1.30391,0.285945,0.692403,,,4.43278,0.0411288,-0.0154469,999,,,,,,,67.29999999999998,3.542105263157894,69,3.6315789473684212,,,,,,,,,,,,,,,,,,,"Dane Dunning","19409",641540
"Mason Barnett","ATH",1,1,1,4.92269,20,2,0,1,,27,119,27,16,15,4,12,,1,23,7.70854,3.97472,1.93939,1.33243,0.194866,0.100478,0.0943882018327713,0.258523,1.45055,0.297049,0.686203,,,4.82494,0.0410032,0.00946157,999,,,,,,,91.40000000000002,3.3851851851851857,94,3.4814814814814814,,,,,,,,,,,,,,,,,,,"Mason Barnett","31741",686930
"Luis Gastelum","STL",2,1,0,3.81611,28,0,0,1,,28,118,26,13,12,3,10,,1,28,8.90231,3.11594,2.85702,1.00417,0.234367,0.082032,0.15233510732650757,0.240595,1.26716,0.296792,0.723744,,,3.78545,0.0401561,0.0215114,999,,,,,,,129.70000000000005,4.632142857142859,128,4.571428571428571,,,,,,,,,,,,,,,,,,,"Luis Gastelum","sa3020964",703725
"Easton McGee","MIL",2,2,0,3.84484,42,0,0,1,,42,179,39,20,18,5,14,,2,38,8.16929,3.04618,2.68182,1.07806,0.212742,0.0793275,0.13341450691223145,0.237759,1.26134,0.281383,0.726693,,,4.03221,0.0399717,0.0265023,999,,,,,,,179.9,4.283333333333333,177,4.214285714285714,,,,,,,,,,,,,,,,,,,"Easton McGee","22176",668834
"Nick Mears","KCR",3,3,0,4.40031,60,0,0,12,,60,257,57,32,29,8,24,,3,55,8.23878,3.56354,2.31197,1.21256,0.213717,0.0924394,0.12127730995416641,0.247603,1.34643,0.292532,0.701687,,,4.38961,0.0397289,-0.017377,999,,,,,,,274.40000000000003,4.573333333333334,273,4.55,,,,,,,,,,,,,,,,,,,"Nick Mears","25376",683232
"Kyle Backhus","PHI",3,3,0,4.08317,52,0,0,7,,52,224,48,26,24,7,20,,3,51,8.80562,3.4122,2.58063,1.19914,0.226876,0.0879149,0.13896112143993378,0.238777,1.30679,0.286444,0.72418,,,4.19287,0.0384613,0.0167055,999,,,,,,,234.90000000000003,4.517307692307693,230,4.423076923076923,,,,,,,,,,,,,,,,,,,"Kyle Backhus","29615",679775
"James McArthur","KCR",2,2,0,4.065,33,0,0,1,,33,143,33,16,15,4,11,,2,29,7.97692,3.11028,2.5647,1.00852,0.20493,0.0799044,0.12502610683441162,0.25132,1.33379,0.298651,0.714137,,,3.99804,0.0373204,0.0191093,999,,,,,,,132.20000000000005,4.006060606060608,136,4.121212121212121,,,,,,,,,,,,,,,,,,,"James McArthur","21527",663704
