Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Rafael Ohashi",,0,0,0,6.14589,1,1,0,0,,3.30185,14,4,2,2,1,2,0,0,2,4.38623,4.63185,0.946972,1.50115,0.111507,0.117751,-0.0062441155314445496,0.280035,1.57954,0.285241,0.61937,,,6.03259,-0.0184843,0.00203331,999,,,,,,,-0.2663341045379628,-0.08066216432741542,1.5092337131500244,0.457087754457035,,,,,,,,,,,,,,,,,,,"Rafael Ohashi","sa3015040",692504
"David Landeta",,0,0,0,6.01075,1,1,0,0,,2.64269,12,3,2,2,0,1,0,0,2,5.3071,4.95026,1.07209,1.57806,0.132801,0.123872,0.008929446339607239,0.270308,1.58672,0.280552,0.639163,,,6.05043,-0.0186049,-0.0369361,999,,,,,,,12.755912637710573,4.826865166958989,14.213454484939575,5.378402181329561,,,,,,,,,,,,,,,,,,,"David Landeta","sa3019523",805399
"Nick Krauth","TEX",0,0,0,5.8845,1,1,0,0,,3.65265,17,4,3,2,1,2,0,0,2,4.40901,3.98281,1.10701,1.60233,0.105421,0.0952307,0.010190524160861969,0.281855,1.61257,0.284789,0.659013,,,5.95709,-0.0187057,-0.0722022,999,,,,,,,2.3296320438385028,0.6377917796455788,3.2632648944854736,0.8933958175985294,,,,,,,,,,,,,,,,,,,"Nick Krauth","sa3015006",689242
"Sam Aldegheri","LAA",1,2,2,5.51953,5,5,0,0,,28,129,30,19,17,5,14,,2,21,6.54517,4.30648,1.51984,1.60513,0.160085,0.10533,0.05475485324859619,0.265125,1.54187,0.28501,0.674853,,,5.59529,-0.0187729,-0.131402,999,,,,,,,61.70000000000002,2.203571428571429,69,2.4642857142857144,,,,,,,,,,,,,,,,,,,"Sam Aldegheri","26443",691951
"Blake Dickerson","DET",0,0,0,6.3523,1,1,0,0,,2.41,10,3,2,2,0,1,0,0,1,4.11288,4.67504,0.879754,1.52252,0.106926,0.121541,-0.014614790678024292,0.282392,1.56479,0.28488,0.597832,,,6.13666,-0.0188275,-0.0488492,999,,,,,,,9.034000635147095,3.7485478478865777,11.050000429153442,4.585062255441657,,,,,,,,,,,,,,,,,,,"Blake Dickerson","sa3023636",703537
"Alejandro Manzano","ATH",0,0,0,6.24713,1,1,0,0,,2.71939,12,3,2,2,0,1,0,0,1,4.11695,4.17296,0.986577,1.57527,0.102287,0.103678,-0.0013916939496994019,0.289622,1.60941,0.292073,0.623932,,,6.04402,-0.0188749,-0.0290301,999,,,,,,,11.32350125312805,4.163982610139596,12.596960306167603,4.632270751152227,,,,,,,,,,,,,,,,,,,"Alejandro Manzano","sa3019125",703835
"Justin Showalter",,0,0,0,5.92376,1,1,0,0,,3.375,16,4,2,2,1,2,0,0,2,5.07052,4.17158,1.21549,1.62233,0.122674,0.100925,0.02174869179725647,0.280434,1.60645,0.288923,0.655466,,,5.90262,-0.018927,0.00478304,999,,,,,,,0.27500000000000036,0.08148148148148159,1.875,0.5555555555555556,,,,,,,,,,,,,,,,,,,"Justin Showalter","sa3025114",805987
"Cesar Lares","MIN",0,0,0,5.93288,1,1,0,0,,4.11671,19,5,3,3,1,2,0,0,2,4.42798,3.75971,1.17774,1.59765,0.105948,0.0899587,0.015989623963832855,0.287466,1.61752,0.291731,0.655605,,,5.86921,-0.0189441,-0.0406803,999,,,,,,,3.1636800765991175,0.7684965344950876,5.5835676193237305,1.3563167771951035,,,,,,,,,,,,,,,,,,,"Cesar Lares","sa3019384",800544
"Frankeli Arias","CHW",0,0,0,6.28199,1,1,0,0,,3.24542,14,3,2,2,1,2,0,0,1,4.01987,4.48183,0.896926,1.5925,0.103841,0.115774,-0.0119333416223526,0.279309,1.54571,0.278423,0.603507,,,6.19258,-0.018994,0.000307794,999,,,,,,,-0.08388686180114657,-0.0258477620319472,-0.7728965282440186,-0.23814987363249407,,,,,,,,,,,,,,,,,,,"Frankeli Arias","sa3018352",802087
"Junior Sanchez","ARI",0,0,0,5.93323,1,1,0,0,,4.36982,18,5,3,3,1,2,0,0,2,4.17464,3.89926,1.07062,1.34921,0.111364,0.104018,0.0073461756110191345,0.284442,1.48084,0.292479,0.598602,,,5.60278,-0.0190646,-0.0194689,999,,,,,,,5.036633586883543,1.1525964334783505,6.849076747894287,1.5673606777353577,,,,,,,,,,,,,,,,,,,"Junior Sanchez","sa3022009",808087
"Luis Carias","LAD",0,0,0,5.9045,1,1,0,0,,3.15714,15,3,2,2,1,2,0,0,2,5.37038,4.60082,1.16727,1.74707,0.128656,0.11022,0.018436051905155182,0.268923,1.60609,0.274578,0.666658,,,6.1651,-0.0190866,-0.00200513,999,,,,,,,1.262857294082644,0.40000004531031863,0.7857143878936768,0.24886880903415243,,,,,,,,,,,,,,,,,,,"Luis Carias","sa3021006",808218
"Alexander Fuentes","SFG",0,0,0,5.84406,1,1,0,0,,2.84167,13,3,2,2,0,2,0,0,2,5.01873,4.8635,1.03192,1.34747,0.12268,0.118886,0.003794372081756592,0.279881,1.64577,0.294765,0.65212,,,5.75419,-0.0190976,-0.0245872,999,,,,,,,11.228333568573,3.9513196866735236,12.208333492279053,4.296187691157862,,,,,,,,,,,,,,,,,,,"Alexander Fuentes","sa3024072",815218
"Royman Blanco",,0,0,0,6.87636,1,1,0,0,,2.02581,9,3,2,2,0,1,0,0,0,1.89588,3.45896,0.548107,1.59914,0.0479366,0.0874586,-0.039521947503089905,0.31418,1.62876,0.298596,0.57555,,,6.32428,-0.0191884,-0.0639255,999,,,,,,,4.191004610061646,2.0688029202286162,7.129057168960571,3.5191119222857266,,,,,,,,,,,,,,,,,,,"Royman Blanco","sa3008580",681759
"Augie Mojica","ARI",0,0,0,6.01786,1,1,0,0,,2.83333,12,3,2,2,0,1,0,0,1,4.15843,4.62792,0.898553,1.28804,0.104731,0.116555,-0.0118241086602211,0.287161,1.61804,0.296629,0.626185,,,5.77507,-0.0192771,-0.0186473,999,,,,,,,12.166666078567506,4.294117559941167,13.166666269302368,4.647058813629678,,,,,,,,,,,,,,,,,,,"Augie Mojica","sa3068592",821318
"Jose T. Perez","SFG",0,0,0,5.62658,1,1,0,0,,2.58889,13,3,2,2,0,1,0,0,2,6.30647,5.09921,1.23675,1.58216,0.143217,0.115801,0.027416326105594635,0.268598,1.71262,0.286187,0.70221,,,5.89683,-0.0193742,-0.0394468,999,,,,,,,12.357777738571166,4.7733905525645275,13.944444417953491,5.386266095211099,,,,,,,,,,,,,,,,,,,"Jose T. Perez","sa3017966",698952
"Biembenido  Brito",,0,0,0,6.82034,1,1,0,0,,2.74147,13,3,2,2,0,2,0,0,2,5.20172,5.95543,0.873441,1.53952,0.126424,0.144743,-0.01831851899623871,0.29307,1.79007,0.308696,0.62065,,,6.36756,-0.0194945,-0.00310677,999,,,,,,,10.486887550354005,3.8252771737409996,11.707356452941895,4.270464729334898,,,,,,,,,,,,,,,,,,,"Biembenido  Brito","sa3019257",800105
"Christian Rodriguez","NYM",0,0,0,5.96574,1,1,0,0,,2.08214,10,2,2,1,0,1,0,0,1,5.29131,6.00991,0.880431,1.40568,0.128424,0.145865,-0.01744087040424347,0.266298,1.69306,0.279809,0.657266,,,6.17323,-0.0194966,-0.0702896,999,,,,,,,9.207811069488525,4.422289552157455,9.410683155059814,4.519724121315718,,,,,,,,,,,,,,,,,,,"Christian Rodriguez","sa3022360",815184
"Eliander Alcalde","TOR",0,0,0,6.35873,1,1,0,0,,2.43685,11,3,2,2,0,1,0,0,1,4.18558,4.84447,0.863991,1.58122,0.10531,0.121887,-0.016577765345573425,0.281777,1.61563,0.283304,0.616174,,,6.26718,-0.0197316,-0.048873,999,,,,,,,9.23266406059265,3.7887754032800514,11.184232473373413,4.589633568554551,,,,,,,,,,,,,,,,,,,"Eliander Alcalde","sa3016519",700289
